"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"4284"	"GRK5"	387.6941	435.7914	719.3427
"4285"	"MDN1"	682.1983	1665.9366	1366.4672
"4286"	"TRIM48"	0	0	0
"4287"	"KLHDC2"	660.693	1127.6061	1503.6008
"4288"	"GOLGA5"	571.6846	1425.8133	1183.8929
"4289"	"FAM57B"	0	0.3245	0
"4290"	"SEMA4F"	61.5293	206.3762	193.123
"4291"	"FARP1"	2902.0311	2683.5402	1862.6636
"4292"	"PMEPA1"	2335.7228	8961.5835	688.1022
"4293"	"CD48"	206.0932	237.2029	1446.7999
"4294"	"KATNAL2"	10.7527	39.2634	164.7226
"4295"	"DFFA"	345.8781	556.502	350.1369
"4296"	"GC"	0	0.3245	0
"4297"	"BDKRB2"	2942.055	744.0578	467.7959
"4298"	"NF2"	462.963	1009.1669	846.3333
"4299"	"OR51B6"	0	0	0
"4300"	"AQP12B"	0	0	2.0286
"4301"	"OR7C1"	0	5.5163	0
"4302"	"CCNDBP1"	1058.5424	1040.967	1566.0818
"4303"	"PROK2"	1.1947	20.4429	1.2172
"4304"	"ZNF587"	593.7873	1003.2644	588.2098
"4305"	"COX7B"	1205.4958	888.7807	1140.4808
"4306"	"RRAS"	608.1243	1577.026	884.471
"4307"	"C13orf29"	35.8423	102.8636	29.2119
"4308"	"PECI"	630.8244	731.3994	924.6212
"4309"	"AP1S3"	2178.0167	341.689	763.1606
"4310"	"PHF19"	390.681	732.7006	653.616
"4311"	"CDC42EP3"	549.5818	3237.7707	635.7643
"4312"	"SBF2"	945.006	1658.8789	846.1994
"4313"	"CENPT"	1311.828	422.4872	730.2972
"4314"	"WDR7"	301.0753	908.5747	684.045
"4315"	"TMIE"	7.7658	12.9796	36.5149
"4316"	"MRRF"	485.6631	267.705	378.9431
"4317"	"LOC644165"	7.7658	5.8376	25.9012
"4318"	"PAFAH1B3"	267.9331	252.7785	206.5646
"4319"	"ORAOV1"	304.0621	219.3559	349.3255
"4320"	"KCNH4"	41.816	11.6817	4.8686
"4321"	"EPS8L1"	2676.2246	537.0325	731.5144
"4322"	"RPS25"	9060.3345	6617.993	10452.5814
"4323"	"FKBPL"	28.6738	77.8778	218.6834
"4324"	"FLJ45340"	1116.4875	722.9658	1471.9546
"4325"	"BST2"	1178.0167	1942.4029	1336.0381
"4326"	"TMEM115"	1291.5173	1119.8183	1574.6019
"4327"	"PISD"	1204.3011	623.6716	943.7063
"4328"	"GABRE"	1160.0956	413.4015	103.8645
"4329"	"YWHAH"	2114.098	1983.6132	2026.5747
"4330"	"KRTAP6-3"	0	0	0
"4331"	"PAX7"	0	1.6225	0.4057
"4332"	"KCNS1"	17.3238	36.0185	4.4629
"4333"	"ABHD15"	405.6153	342.338	490.5163
"4334"	"SNORD46"	0	0	0
"4335"	"NPR1"	335.1254	274.8438	206.9175
"4336"	"GMDS"	183.3931	298.5317	230.4493
"4337"	"KCNT1"	4.1816	2.2714	0.4057
"4338"	"KRTAP5-8"	10.1553	0.649	0
"4339"	"AKR1A1"	1393.6679	1834.0229	2437.5697
"4340"	"DOPEY2"	1022.7001	1326.1945	634.9528
"4341"	"LPHN3"	86.6189	128.1739	2.0286
"4342"	"SYCP2"	9.5579	88.586	54.3666
"4343"	"LOC284837"	20.908	44.7798	10.143
"4344"	"SLC5A12"	6.5711	0.3245	0.8114
"4345"	"KRTAP13-2"	0	2.2714	0
"4346"	"ITPKA"	1.7921	13.9531	2.4343
"4347"	"MUSK"	25.687	0.3245	6.8973
"4348"	"TNNC2"	2.3895	6.4898	4.0572
"4349"	"KIAA0467"	1018.5962	1289.8515	1315.18
"4350"	"PLEKHB1"	90.8005	282.6316	1023.2275
"4351"	"RUVBL2"	923.5364	1028.6363	1410.6907
"4352"	"CYP2J2"	666.0693	185.9333	6.4915
"4353"	"UBE2L6"	699.5221	1300.2353	1586.7735
"4354"	"C14orf147"	1066.3082	1009.1669	684.045
"4355"	"PAPOLA"	3905.6153	3638.5171	3183.2843
"4356"	"HIST1H2BA"	0	0	0
"4357"	"CNTROB"	859.0203	737.5679	751.8004
"4358"	"ERCC3"	790.3226	990.0219	1137.235
"4359"	"NOP16"	596.1768	106.1085	157.8253
"4360"	"PTPRE"	882.9152	384.5218	633.33
"4361"	"ZBTB42"	335.7228	782.6722	351.7598
"4362"	"RPS10"	5812.4253	4526.3243	6034.2834
"4363"	"NDUFA1"	927.1207	903.7073	1551.0701
"4364"	"PRL"	0	0.3245	0.4057
"4365"	"ACCS"	330.9438	337.1461	453.5957
"4366"	"CLPX"	466.5472	757.6864	623.9984
"4367"	"ZNF549"	209.08	240.451	236.5351
"4368"	"RAC1"	6558.5424	4372.8401	3918.4501
"4369"	"CC2D1A"	1424.1338	959.5198	795.6182
"4370"	"LOC220429"	1.1947	2.5959	3.2458
"4371"	"RPL15"	17758.0645	17010.4648	21345.7754
"4372"	"DNAJC4"	614.9223	651.1982	1056.5331
"4373"	"C9orf7"	715.6511	616.5328	963.5866
"4374"	"BCAP29"	901.4337	1756.4695	2696.4195
"4375"	"DEFB1"	219.8327	59.7063	3.2458
"4376"	"NPEPPS"	2635.6033	2039.4257	1544.5786
"4377"	"CCR6"	61.7802	75.9925	279.501
"4378"	"NME5"	17.9211	65.2227	190.283
"4379"	"IFI16"	2537.037	2349.9635	2761.3348
"4380"	"ZNF213"	188.172	486.0875	438.9898
"4381"	"TMEM50B"	1540.0239	1549.4443	2489.502
"4382"	"ATXN1L"	1468.9367	1599.0914	1255.2997
"4383"	"FMR1NB"	0	0.3245	0
"4384"	"HLA-C"	19119.9522	16621.7604	30850.9301
"4385"	"CHRNA10"	23.2975	8.1123	15.4174
"4386"	"TRAF1"	424.1338	281.9826	1661.8318
"4387"	"SDC3"	1729.3907	3571.023	1265.8485
"4388"	"DCLK3"	34.6476	2.5959	6.0858
"4389"	"KLHL24"	356.0335	1544.2525	1683.7407
"4390"	"TAS2R10"	0	0.3245	2.0286
"4391"	"PHF14"	569.8925	810.5784	545.2886
"4392"	"RBMX"	4251.4934	3072.2804	4223.5521
"4393"	"FIBP"	805.8542	609.7185	1015.1131
"4394"	"ACAT2"	340.1075	715.5415	321.9921
"4395"	"ZFAND6"	1213.859	1136.6918	1936.5047
"4396"	"NEURL2"	28.0346	42.3947	61.4423
"4397"	"U2AF2"	3945.6392	2763.365	3319.2007
"4398"	"TBCD"	1511.7085	1466.6115	1650.212
"4399"	"SHE"	110.5137	382.5748	508.368
"4400"	"PTPN9"	936.6786	1189.2593	1363.6271
"4401"	"SLC7A8"	2489.2473	2859.7388	1025.2561
"4402"	"B4GALNT2"	0	0.3245	58.0181
"4403"	"LOC100287227"	7.1625	4.2703	7.3679
"4404"	"RGS14"	190.5615	303.0746	925.8545
"4405"	"C6orf222"	5.3763	2.5959	0.8114
"4406"	"GKAP1"	46.595	133.3658	211.3805
"4407"	"CDR1"	3.3393	5.5163	1.2172
"4408"	"C19orf20"	65.7109	94.1024	296.5818
"4409"	"TTC7A"	708.4827	804.001	1742.7772
"4410"	"NPFFR2"	49.5818	12.9796	6.4915
"4411"	"B4GALT7"	409.7969	458.5057	597.2208
"4412"	"SLC35C1"	577.0609	952.381	409.7779
"4413"	"EPS15"	1583.632	2304.5348	2114.6161
"4414"	"C7orf31"	43.0108	115.1943	197.9917
"4415"	"SLCO5A1"	2.9869	35.3695	26.3718
"4416"	"CCDC50"	1461.1708	2032.9358	2018.4603
"4417"	"GEMIN7"	207.2879	150.5638	247.4896
"4418"	"LCN8"	0	0.649	8.1144
"4419"	"C6orf52"	0	4.2184	9.7373
"4420"	"TH1L"	1922.9391	1007.5444	1487.7777
"4421"	"RTN4RL2"	4.779	16.549	490.1106
"4422"	"C3orf49"	0	0.9735	0.4057
"4423"	"OR1A2"	0	0	0
"4424"	"WBP11P1"	7.7658	15.2511	9.7373
"4425"	"IP6K2"	1564.5161	1326.8435	1752.3075
"4426"	"SYAP1"	1632.6165	968.281	883.2539
"4427"	"SLC6A6"	705.4958	790.46	1104.3716
"4428"	"PCDHA1"	0	9.6633	1.4363
"4429"	"FRAS1"	29.8686	780.4007	1522.6696
"4430"	"PSMB2"	1508.9606	1193.8022	1472.1087
"4431"	"CYP2A7"	0	0.3245	0.4057
"4432"	"ZNF878"	2.3895	1.9469	5.6801
"4433"	"ABCA7"	441.4576	288.7969	827.2644
"4434"	"ADD3"	2221.6249	3366.9181	4448.3213
"4435"	"C12orf66"	58.5424	114.5453	105.4874
"4436"	"PRIM2"	77.0609	344.6094	124.962
"4437"	"TOP3A"	263.4409	344.6094	318.085
"4438"	"GFAP"	1.1947	10.3837	9.3316
"4439"	"OR8H3"	0	0	0
"4440"	"C20orf123"	0	0	0.8114
"4441"	"GPHA2"	0.5974	5.8408	1.6229
"4442"	"AASS"	803.4648	685.3249	496.1964
"4443"	"ATAD3C"	148.1481	106.7575	249.5182
"4444"	"ATP6V1C2"	82.3835	85.4385	77.6062
"4445"	"GNPDA2"	206.0932	439.3608	415.8637
"4446"	"A1CF"	0	0	0
"4447"	"FAM3A"	774.7909	822.2601	1168.4755
"4448"	"TDGF3"	0	2.5959	2.84
"4449"	"RABIF"	326.1649	205.7273	212.1919
"4450"	"C14orf149"	20.908	91.182	147.2766
"4451"	"EDC4"	3887.9391	1348.7045	1397.6387
"4452"	"DPYSL5"	0	4.2184	0.4057
"4453"	"MAGEL2"	9.5579	12.3307	22.3146
"4454"	"TAF8"	326.1649	597.7123	590.3236
"4455"	"SGSM3"	1945.6392	2039.7501	1489.4005
"4456"	"RAGE"	121.8638	91.8309	322.5479
"4457"	"PTPN7"	71.0872	99.9432	985.0898
"4458"	"SHISA2"	151.7324	65.8717	916.9287
"4459"	"RBPJ"	439.6655	869.6358	445.0756
"4460"	"DNAJC9"	578.411	507.1437	535.5959
"4461"	"KARS"	2791.5173	2074.4707	2388.8914
"4462"	"CLCNKB"	0	16.2245	502.6879
"4463"	"ETNK1"	1337.5149	1394.0131	1822.4972
"4464"	"LOC100130238"	17.9211	5.5163	110.356
"4465"	"MYBL1"	54.9582	102.2147	327.8223
"4466"	"SLC2A4RG"	1028.6738	1145.7776	1352.267
"4467"	"ELMO1"	242.5329	408.5341	1577.8477
"4468"	"C9orf119"	277.1804	246.9376	497.8193
"4469"	"OPRL1"	29.8686	60.0308	79.1155
"4470"	"STYX"	370.3704	545.7938	461.3044
"4471"	"RPA3"	123.6559	168.7353	357.0342
"4472"	"VPS4A"	2098.5663	1696.7632	2127.5991
"4473"	"BCL2L2"	1264.6057	1989.188	1361.9596
"4474"	"PFAS"	460.5735	496.1467	439.8012
"4475"	"PI16"	4465.9498	2991.4821	127.3963
"4476"	"OR2H1"	0	0	0
"4477"	"GPC3"	455.7945	101.2412	137.5393
"4478"	"RING1"	1201.9116	1047.4568	1562.0245
"4479"	"NGB"	0	1.6225	0
"4480"	"CHRAC1"	906.2127	530.2182	877.5738
"4481"	"AKR1B1"	1698.9247	1398.556	1339.6896
"4482"	"RBMXL2"	0	0.3245	2.4343
"4483"	"IL29"	0	0.649	1.2172
"4484"	"ACTRT1"	0	0	0
"4485"	"METTL9"	2053.7634	1810.0105	2175.0685
"4486"	"FAP"	14.3369	96.6983	62.0753
"4487"	"NUP188"	1888.8889	1338.5252	1091.3886
"4488"	"MFSD2A"	4479.092	213.1906	68.5668
"4489"	"GMFG"	691.7563	194.0456	885.6882
"4490"	"ZNF574"	602.1505	534.7611	416.2694
"4491"	"CEACAM21"	1.7921	16.549	80.3327
"4492"	"PLCL1"	59.7372	468.5649	230.4493
"4493"	"FGF6"	0	0	0
"4494"	"BRWD1"	1013.7395	1540.0341	1663.049
"4495"	"HEXIM2"	36.9654	90.692	136.7481
"4496"	"AP2B1"	5232.3775	5334.9558	4690.1308
"4497"	"B2M"	40859.0203	42600.146	118099.6288
"4498"	"MON2"	964.1577	1495.5788	1308.8549
"4499"	"WRN"	280.1673	444.5526	219.4949
"4500"	"NUP210"	339.9044	922.5278	2345.8769
"4501"	"LOC100128239"	8.3632	12.3307	12.9831
"4502"	"ACADSB"	844.086	1838.2413	772.4921
"4503"	"KLHL10"	1.1947	4.8674	8.1144
"4504"	"SNORD115-1"	0	0	0
"4505"	"GPR12"	0.5974	3.8939	5.6801
"4506"	"NPY"	0	1735.3776	6.8973
"4507"	"CACNA1G"	8.9606	95.0758	11.7659
"4508"	"ORC4L"	365.5914	570.4551	512.4252
"4509"	"FGFBP2"	7.1685	5.5163	6.4915
"4510"	"HOXC12"	0	0	0
"4511"	"TRIM43"	0	0	0
"4512"	"GJA9"	12.5448	6.8143	5.2744
"4513"	"COX6A1"	1664.2772	1231.4432	1990.0598
"4514"	"NAGPA"	142.1744	222.2763	342.0955
"4515"	"AMMECR1"	302.27	292.0419	193.5288
"4516"	"C4orf52"	191.1589	395.23	541.6371
"4517"	"XRCC1"	472.5209	690.5168	902.7285
"4518"	"OR1M1"	0	0	0
"4519"	"SUFU"	364.994	892.3501	328.228
"4520"	"RWDD2A"	24.4922	273.5459	117.2533
"4521"	"LOC158696"	1.7921	12.3307	2.4343
"4522"	"MARCH4"	0	7.7878	1.6229
"4523"	"SNRPN"	3442.043	3395.8303	6901.8481
"4524"	"KRT24"	52.5687	2.2714	0
"4525"	"ICAM2"	592.957	209.0144	726.739
"4526"	"CA5BP"	228.1959	153.1597	181.3571
"4527"	"LBXCOR1"	4.779	7.4633	7.303
"4528"	"GPT"	22.1027	15.5756	13.3888
"4529"	"TFIP11"	842.5209	751.7028	930.4919
"4530"	"SCARNA22"	0	0	0
"4531"	"SLC6A19"	0.5974	27.5817	0
"4532"	"UBE2A"	1169.6535	842.054	1127.9034
"4533"	"REP15"	16.7264	12.9796	10.5487
"4534"	"NLRP3"	237.7539	110.0024	135.9164
"4535"	"RAB4A"	862.7419	1284.8544	927.4044
"4536"	"ACSS3"	102.1505	274.1949	441.4241
"4537"	"GPC4"	317.2043	611.0165	561.9231
"4538"	"HTR2A"	0	12.0062	1.6229
"4539"	"LHB"	0	0	0
"4540"	"NDOR1"	613.5006	580.8388	536.7684
"4541"	"C17orf100"	34.6476	81.1227	91.6929
"4542"	"ZNF607"	55.5556	152.8352	191.9059
"4543"	"FAM89B"	737.7539	713.8801	768.0292
"4544"	"TIMP1"	5015.5317	3721.2623	2151.5367
"4545"	"ADNP"	2032.8554	2664.3952	2149.1023
"4546"	"LYRM5"	249.1039	257.6458	488.8934
"4547"	"LOC285740"	0	0	0.4057
"4548"	"KLK6"	0	4.5429	0
"4549"	"STARD4"	66.9056	297.8827	120.0933
"4550"	"NCRNA00119"	2.9869	0.649	2.0286
"4551"	"OR4C45"	0	0	0
"4552"	"NUP153"	2335.1254	1497.2013	1183.0814
"4553"	"TAS2R30"	0	0	0
"4554"	"C1orf56"	157.3895	212.9375	323.5825
"4555"	"COL5A2"	1547.7897	938.4278	482.8076
"4556"	"EIF5B"	3000.5974	3028.1496	1693.478
"4557"	"NDUFAB1"	629.0323	513.0202	772.4921
"4558"	"SLC22A14"	4.779	0	0.8114
"4559"	"CACNA2D3"	6.5711	40.5614	36.1091
"4560"	"SMAD6"	69.8925	315.4052	361.9028
"4561"	"LRTM2"	0	0.3245	1.2172
"4562"	"IGSF22"	32.4313	21.0108	39.3671
"4563"	"LOC151162"	2127.2401	1219.437	1508.0637
"4564"	"LCN12"	7.1685	22.3899	595.5979
"4565"	"PRRT2"	160.693	179.4435	76.2755
"4566"	"C15orf55"	5.3763	1.6225	0
"4567"	"SERPINB4"	139.1876	13.3041	0
"4568"	"SNORD114-8"	0	0	0
"4569"	"LOC401588"	136.2007	71.388	133.4821
"4570"	"POLDIP2"	1474.325	1633.176	1854.5126
"4571"	"PCDHGA3"	17.9032	64.1811	39.8742
"4572"	"OR4P4"	0	0	0
"4573"	"OR9K2"	0.5974	0	0
"4574"	"SNORD93"	0	0	0
"4575"	"EDEM2"	388.2915	581.1633	669.8448
"4576"	"LOXL3"	91.0693	100.3813	56.5818
"4577"	"TRNT1"	272.4373	283.4201	334.7642
"4578"	"C20orf54"	249.1039	412.1035	19.0689
"4579"	"CCL2"	3639.7849	1042.5894	3233.9994
"4580"	"CENPBD1"	76.4636	284.2541	260.4727
"4581"	"ECM1"	876.3441	397.1769	144.4366
"4582"	"HSPB9"	0	6.1653	2.4343
"4583"	"AATK"	94.3847	93.4534	88.8528
"4584"	"ENOPH1"	550.1792	629.8369	883.2539
"4585"	"C12orf44"	1704.3011	757.0374	974.541
"4586"	"C16orf62"	826.7622	1152.2674	1149.0009
"4587"	"LOC440040"	0	0	0
"4588"	"LRRC4B"	109.319	35.694	35.7034
"4589"	"PRO0611"	0	0.3245	1.6229
"4590"	"WDR36"	768.2198	830.3724	684.4508
"4591"	"PODN"	1713.859	3198.8318	212.1919
"4592"	"FBXO42"	335.7228	653.2003	563.546
"4593"	"MTM1"	227.0012	496.7957	426.8181
"4594"	"HIST1H2BH"	0	0.9735	4.8686
"4595"	"GNL3"	3238.3513	1662.6917	1013.8959
"4596"	"MST1"	208.4827	63.9247	264.1242
"4597"	"NKX2-5"	0	0	0
"4598"	"FKBP3"	807.6464	807.9825	948.1692
"4599"	"SPATA5"	121.2664	241.7458	142.8137
"4600"	"GATS"	69.6894	204.6564	107.232
"4601"	"HIST1H4I"	0	0.649	2.0286
"4602"	"NHEG1"	0	0.3245	0
"4603"	"DENND1C"	256.2724	226.4947	905.1628
"4604"	"HES1"	2203.1063	2759.1466	803.7326
"4605"	"NR5A1"	0	0	0
"4606"	"UPB1"	4.779	2.2714	6.8973
"4607"	"HHAT"	399.0442	358.5625	382.5946
"4608"	"EDARADD"	528.6738	510.0998	262.907
"4609"	"SLC35A3"	255.675	601.2817	343.2397
"4610"	"CTBS"	350.6511	1051.9737	554.1982
"4611"	"HRG"	0	0	0
"4612"	"PRR23A"	0	0	0
"4613"	"SPTB"	85.4241	137.5842	64.5096
"4614"	"CRLF3"	285.5436	293.9888	665.7876
"4615"	"MRPL37"	731.1828	822.2601	1041.0792
"4616"	"PLXNA3"	1093.7873	752.4945	639.4158
"4617"	"HK1"	5145.7587	4175.8741	3385.3332
"4618"	"RAG1AP1"	1032.2581	706.0923	722.9942
"4619"	"CXorf30"	0	0	6.0858
"4620"	"PRSS3"	203.1063	4.8674	0
"4621"	"FSD1"	0.5974	2.5959	5.2744
"4622"	"CYP21A2"	36.2903	25.4953	74.2712
"4623"	"RPF2"	602.1505	277.1153	331.8795
"4624"	"SERF2"	5225.7348	6761.4407	9087.1529
"4625"	"LRRCC1"	149.3429	359.2115	451.1614
"4626"	"CD1A"	10.1553	5.8408	28.4004
"4627"	"CALHM3"	0.5974	0.9735	0
"4628"	"TOX"	87.8136	179.4435	817.9329
"4629"	"NLRP8"	0	1.9469	0
"4630"	"GALNT6"	100.9558	210.9191	202.8603
"4631"	"BCOR"	517.3238	1591.3036	1064.611
"4632"	"AARS2"	351.2545	498.0709	421.1015
"4633"	"MYOM3"	2.9869	5.1919	5.6801
"4634"	"F11"	0.5974	0	0
"4635"	"OR4E2"	0	0	0
"4636"	"PRDM6"	65.1135	104.4861	23.9375
"4637"	"MYB"	20.3106	249.2091	58.4238
"4638"	"CFHR3"	8.3632	2.2714	2.0286
"4639"	"TRIM77"	0	0	0
"4640"	"ISOC2"	581.2425	656.1207	547.7229
"4641"	"CCDC110"	2.9869	39.5879	86.0128
"4642"	"LILRB1"	37.6344	109.3535	314.0278
"4643"	"DPF2"	577.6583	1152.5919	1226.8993
"4644"	"RPL27A"	15520.3106	9748.0328	16245.8667
"4645"	"C14orf68"	0	0.3245	1.6229
"4646"	"SRM"	817.2043	621.0757	719.3427
"4647"	"MRPL43"	827.4432	988.1463	1354.8839
"4648"	"TMEM92"	75.2688	52.243	0.8114
"4649"	"ICAM5"	10.7527	3.2449	40.5721
"4650"	"UNG"	510.7527	744.7067	752.2061
"4651"	"MAGEA2"	0	0.9735	0
"4652"	"PHOX2B"	0	0	0
"4653"	"RDH16"	5.9737	60.0308	11.3602
"4654"	"ZNF846"	173.2378	184.3109	79.1155
"4655"	"HESX1"	0	8.7613	13.3888
"4656"	"C1orf135"	7.1685	9.7347	13.3888
"4657"	"GRINA"	3184.5878	3087.8559	4350.1369
"4658"	"PIWIL2"	4.1816	32.4491	6.8973
"4659"	"CCDC13"	2.9869	23.3633	82.767
"4660"	"C10orf62"	0	0.649	0
"4661"	"ESRRB"	0	0.3245	2.0286
"4662"	"GLOD5"	0	3.5694	10.5487
"4663"	"FGD3"	523.8949	181.7149	797.2411
"4664"	"C19orf38"	15.5317	30.8266	34.892
"4665"	"TRMT12"	224.0143	272.8969	250.7354
"4666"	"LOC100131193"	18.626	37.641	114.4132
"4667"	"DEFB104A"	0	0	0
"4668"	"ZNF648"	0	0.649	0
"4669"	"PLBD2"	495.8184	924.7992	542.8542
"4670"	"ME2"	551.374	696.6821	682.4222
"4671"	"GRRP1"	34.0502	105.7841	54.7723
"4672"	"GARS"	1476.7025	1001.3791	1360.7871
"4673"	"CES1"	1228.7933	1860.3066	90.8814
"4674"	"TIMM9"	301.6726	298.8562	422.7609
"4675"	"SERTAD3"	930.7049	793.7049	685.2622
"4676"	"NRG4"	28.0765	51.9186	1.6229
"4677"	"NRADDP"	11.3501	0.9735	1.6229
"4678"	"SLC16A8"	14.3369	11.0327	8.5201
"4679"	"EIF2C1"	455.1971	1416.403	690.9423
"4680"	"CSNK1A1P"	0	2.2714	0.8114
"4681"	"GGCX"	950.4182	768.0701	476.7218
"4682"	"SYT8"	4398.4468	39.5879	0.4057
"4683"	"RUFY4"	34.0502	15.9001	21.0975
"4684"	"WFDC1"	643.3692	1025.7159	20.286
"4685"	"SLC2A12"	96.1768	1831.4269	52.338
"4686"	"VPS41"	833.3333	1510.5054	923.8259
"4687"	"GRIN2B"	0	0.9735	0.4057
"4688"	"DFNA5"	611.1111	246.6131	389.4918
"4689"	"CD3D"	99.7611	78.8513	768.4349
"4690"	"ARMC2"	13.1422	27.2572	86.8242
"4691"	"LELP1"	0	0	0
"4692"	"HECW2"	23.8949	157.3781	174.8656
"4693"	"AURKAPS1"	16.129	2.9204	14.6059
"4694"	"SNORD116-8"	0	0	0
"4695"	"COX7B2"	0	0	0
"4696"	"PRPF38B"	2698.9247	1189.2593	1825.3373
"4697"	"DHRS1"	592.5926	548.7142	638.1986
"4698"	"GPR21"	2.3895	1.298	3.6515
"4699"	"PSPC1"	1152.9271	662.286	886.0939
"4700"	"NCOA4"	5206.0932	7132.6357	3539.1013
"4701"	"LPPR4"	1452.2103	97.6718	92.91
"4702"	"C3orf45"	1.5233	3.1735	2.5155
"4703"	"HIST1H3I"	0	0	0.4057
"4704"	"DOT1L"	2517.9211	532.4897	680.7871
"4705"	"ZNF625"	3.5842	51.5	24.5583
"4706"	"HELZ"	882.3178	1875.8822	1327.9237
"4707"	"NFASC"	353.6858	991.1966	174.3747
"4708"	"P4HA2"	566.9056	541.2509	556.6487
"4709"	"SEMA4B"	21026.2843	2390.2004	1935.2876
"4710"	"FBXO4"	131.4217	220.0049	307.5363
"4711"	"ZNF212"	452.2103	311.8358	377.3202
"4712"	"VAC14"	657.7061	808.956	1372.9587
"4713"	"PRKRIR"	1067.503	1139.2877	1206.2075
"4714"	"DEFB135"	0	0	0
"4715"	"ACACA"	1296.8937	3674.8601	591.135
"4716"	"RPP14"	496.4158	509.4508	520.9453
"4717"	"SLC16A5"	1666.0693	519.51	275.0786
"4718"	"FAM122B"	826.1649	700.576	854.042
"4719"	"NAP1L3"	31.0633	160.9475	153.3624
"4720"	"TRIM69"	14.3369	6.1751	29.6176
"4721"	"HPYR1"	0	0	0
"4722"	"PI4KAP2"	93.19	84.0432	146.0594
"4723"	"RRP9"	557.3477	322.544	326.6051
"4724"	"DMRT2"	9.5579	10.7082	3.6515
"4725"	"CALCB"	1.1947	0.649	4.8686
"4726"	"EVL"	890.681	1012.0873	2878.9938
"4727"	"TRPV2"	253.8829	249.2091	442.2355
"4728"	"TAL1"	40.0239	83.0697	88.4471
"4729"	"HCG26"	32.2581	49.6471	217.0606
"4730"	"EIF2B4"	839.307	658.7166	649.1531
"4731"	"ATXN7"	1522.1027	898.5155	817.5271
"4732"	"LDOC1L"	931.8996	1247.3432	897.0484
"4733"	"TRMT112"	1754.4803	1417.052	2825.033
"4734"	"SETD8"	1600.9558	1273.9515	1108.0231
"4735"	"BZW1"	8712.0669	3705.0377	2370.6258
"4736"	"HLX"	106.9295	204.7538	186.6315
"4737"	"FAM124B"	5.3763	17.198	17.0403
"4738"	"TERT"	0	0	8.1144
"4739"	"SP140"	29.8686	47.7002	630.8956
"4740"	"WNT16"	0.5974	29.2042	4.8686
"4741"	"BPIL1"	0	20.7674	0
"4742"	"HSP90AB4P"	0	0.649	1.6229
"4743"	"SCARNA21"	0	0.649	0
"4744"	"NHP2"	1354.8387	851.7888	1054.468
"4745"	"PUF60"	2971.9235	2091.9932	2115.4275
"4746"	"CPE"	1943.2497	6557.9622	3411.705
"4747"	"SNORA67"	1.1947	0	0.4057
"4748"	"ERBB2"	4873.3572	6435.6291	3148.3923
"4749"	"CD8B"	90.2031	65.8717	534.3341
"4750"	"FAM27B"	0	0.3245	0
"4751"	"CETN1"	0	0	0
"4752"	"OGT"	4605.7348	2265.5958	5359.9757
"4753"	"OR6K6"	0	0	0
"4754"	"TMEM213"	0	30.5021	0.4057
"4755"	"PRICKLE3"	287.3357	198.264	143.2194
"4756"	"ZNF100"	186.3799	227.7927	173.6484
"4757"	"HIBADH"	804.0621	1288.8781	1328.7352
"4758"	"NLGN4X"	278.9725	165.4904	32.0519
"4759"	"WIPF3"	3.5842	44.7798	13.3888
"4760"	"ARL3"	459.9761	556.502	813.4699
"4761"	"SOST"	0	0.3245	0.4057
"4762"	"DEFB115"	0	0	0
"4763"	"GRIN2C"	7.1685	8.7613	1339.6896
"4764"	"FAM198A"	55.5556	105.7841	18.6632
"4765"	"HBA2"	621.2664	190.1517	278.7301
"4766"	"SNORA29"	0	0.3245	0
"4767"	"SMAD2"	1505.9737	1975.8254	2169.7941
"4768"	"TMEM50A"	1728.7933	2213.0186	2183.5886
"4769"	"SLC48A1"	511.9474	645.4125	1480.069
"4770"	"ASB8"	225.2091	769.0436	682.4222
"4771"	"FAM47A"	0	0	0
"4772"	"DPCD"	137.951	193.4355	315.1192
"4773"	"APOB48R"	581.2425	241.4213	374.4802
"4774"	"HAR1A"	5.3763	17.198	15.8231
"4775"	"C9orf9"	35.8423	142.776	448.7271
"4776"	"RLN1"	0	308.9154	0
"4777"	"DYNC1H1"	8280.7646	10602.093	6128.0049
"4778"	"PPP1R3C"	127.2401	694.4106	20.6918
"4779"	"GON4L"	951.4875	1073.8379	998.6936
"4780"	"PIGF"	369.307	194.3701	268.3071
"4781"	"VPS54"	494.0263	995.5382	693.3766
"4782"	"SNORD33"	0	0	0
"4783"	"SPDYC"	0	0	0
"4784"	"PDE8A"	1358.4229	640.5451	490.1106
"4785"	"KRTDAP"	0	0	0.4057
"4786"	"LOC285501"	0	0	0
"4787"	"KIRREL"	146.356	486.0875	128.6134
"4788"	"SLC23A1"	3.5842	54.839	3.2458
"4789"	"CSDAP1"	83.0346	40.5614	20.286
"4790"	"ANKRD9"	311.828	99.6187	112.7903
"4791"	"STOML1"	60.9319	293.9888	395.1719
"4792"	"TMEM95"	0.5974	0	0.4057
"4793"	"CSF1"	547.7897	816.4192	803.3269
"4794"	"DLK2"	20.3106	287.1745	7.303
"4795"	"PRDM15"	126.0454	185.9333	260.4727
"4796"	"GPRIN3"	106.9295	166.4639	283.193
"4797"	"LUC7L3"	2856.0335	1744.7879	4142.0022
"4798"	"CC2D2A"	206.6906	536.708	246.6782
"4799"	"PSIMCT-1"	5.9677	10.3999	7.0839
