"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"122"	"NOX1"	1.7921	77.2288	0.8114
"123"	"MUC5B"	4.779	100.9167	0.4057
"124"	"KRTAP4-3"	0	0	0
"125"	"FAM24B"	5.1852	12.3826	29.4431
"126"	"OCA2"	2.9869	80.1493	210.569
"127"	"BNC2"	164.2772	425.4076	255.604
"128"	"CLLU1"	0	0	2.84
"129"	"GLYCAM1"	0	0	0
"130"	"PPP4R4"	2.3895	35.694	5.2744
"131"	"GOLPH3"	2601.5532	3221.2217	2230.6522
"132"	"L3MBTL2"	678.8769	816.0785	863.6535
"133"	"HOOK2"	932.497	866.0664	1136.0179
"134"	"LOC84989"	99.4325	21.7539	48.2442
"135"	"THSD1"	43.0108	92.4799	91.2871
"136"	"MCM8"	92.5926	270.9499	173.2427
"137"	"COPS8"	787.9331	775.8319	936.7765
"138"	"TXLNA"	1569.2951	1988.4806	1822.0915
"139"	"HOMER2"	24.4922	1426.7867	406.5321
"140"	"ZNF496"	241.9355	445.5261	423.9781
"141"	"TMEM31"	0	0.3245	0.8114
"142"	"GPR64"	5.9737	61.3288	125.7734
"143"	"TUBB2A"	2099.1637	534.1121	369.2058
"144"	"PRMT2"	1373.3572	1858.3597	2364.1343
"145"	"DNM3"	56.7503	127.8494	78.3041
"146"	"SFXN1"	551.9713	576.2959	561.1117
"147"	"AGPHD1"	32.8554	46.7267	35.7034
"148"	"PCBP3"	10.7527	23.3633	27.1833
"149"	"IL9"	0	0	0
"150"	"BRCA2"	11.9474	69.4411	56.8009
"151"	"MYH15"	0	9.4102	25.5604
"152"	"STYK1"	250.2987	288.148	13.3888
"153"	"CAMK2A"	14.9343	5.8408	2.0286
"154"	"FAM48A"	576.6547	834.6037	875.3545
"155"	"WIBG"	372.7599	495.1732	643.8787
"156"	"BMP2"	2656.5114	293.6643	3048.9908
"157"	"RPL13AP20"	62.1266	31.1511	50.7151
"158"	"DIP2A"	1057.945	1233.7146	818.7443
"159"	"RUFY2"	390.0836	442.9334	337.9653
"160"	"FAM179A"	8.9606	11.6817	23.9375
"161"	"MAGOHB"	121.8638	129.4719	156.2025
"162"	"CLN5"	592.5926	975.7443	1902.0185
"163"	"KLKP1"	0	61.9778	2.4343
"164"	"MAPK11"	182.7957	216.4355	201.2374
"165"	"LOC100133957"	4.6117	9.1636	14.1394
"166"	"ARMC6"	354.7909	589.8856	783.7793
"167"	"C22orf34"	0	0.3245	35.7034
"168"	"NT5DC2"	541.2127	930.9061	516.2065
"169"	"KCNV1"	0	0.649	5.6801
"170"	"ARHGAP17"	1272.4014	903.0583	1325.0837
"171"	"C1orf213"	49.2115	85.1529	185.033
"172"	"NANOS2"	0	0	0
"173"	"GPR62"	0.5974	10.3837	6.0858
"174"	"DPY19L1"	1709.6774	611.0165	445.0756
"175"	"NPFF"	8.3632	2.9204	10.9545
"176"	"ABCB7"	387.6941	400.7463	411.4008
"177"	"OVGP1"	234.767	77.2288	28.4004
"178"	"IL33"	1087.8136	1432.9521	732.3258
"179"	"NUDT22"	402.7838	376.9968	486.4631
"180"	"BEND7"	264.0382	333.5767	639.01
"181"	"TCP11L1"	136.2963	235.5804	120.2029
"182"	"PARP1"	1741.3381	3234.5258	3639.7201
"183"	"TMEM155"	1.1947	2.2714	6.4185
"184"	"SOX21"	7.7658	21.4164	3.6515
"185"	"FSHR"	0	0	0.4057
"186"	"NEK3"	77.6583	195.9925	185.8201
"187"	"SNORD4B"	0	0	0
"188"	"RASGRF1"	2.9869	16.2245	43.8178
"189"	"KCP"	31.0633	34.7335	9.7616
"190"	"EBP"	393.6679	841.7295	429.6582
"191"	"GVIN1"	79.4504	252.454	565.5746
"192"	"ZCCHC16"	0	0.9735	0.4057
"193"	"ACOXL"	324.9701	49.9716	26.7776
"194"	"LRRTM3"	0	21.4164	0
"195"	"NDUFB1"	302.27	403.0178	735.9773
"196"	"ZNF555"	31.0633	99.2942	66.1325
"197"	"ZDHHC17"	464.1577	839.4581	809.007
"198"	"LOC651250"	936.0812	1546.5239	1724.3128
"199"	"KIAA0556"	450.4182	834.9152	1149.8124
"200"	"OTOL1"	0	0	0
"201"	"CHST4"	0	2.9204	9.7373
"202"	"SNORD43"	0	0	0
"203"	"TCF7L1"	313.6201	653.8493	644.6901
"204"	"SF4"	453.405	494.8487	594.7865
"205"	"PDK2"	475.5078	1273.9515	1368.9015
"206"	"LOC100128573"	0	0.649	1.6229
"207"	"MRPS22"	627.2401	389.7136	497.0078
"208"	"TMEM62"	430.7049	379.3299	429.2525
"209"	"ATXN1"	925.9259	1413.4826	1182.27
"210"	"MRM1"	41.2186	108.0555	122.5276
"211"	"ARPC5"	3065.1135	2517.0763	4327.4166
"212"	"LOC100189589"	2.9869	0	0.8114
"213"	"LIMK2"	635.006	2129.3096	2088.65
"214"	"LOC400027"	193.5484	351.0992	516.8881
"215"	"CYHR1"	660.693	731.4026	830.5102
"216"	"KIAA0125"	2.9869	9.0857	859.7221
"217"	"VSIG8"	2.3895	0	2.0489
"218"	"UQCC"	640.3823	475.0548	931.5346
"219"	"OR6C74"	0	0	0
"220"	"RBBP8"	653.5245	658.3921	520.1339
"221"	"ANKRD57"	9848.865	868.9868	622.3755
"222"	"PTH1R"	62.1266	80.4738	10.9545
"223"	"ERC2"	1.7921	21.7409	8.9259
"224"	"GFM2"	542.4134	577.5939	490.922
"225"	"BTBD2"	1560.3345	2257.8081	1922.7102
"226"	"APOL4"	455.7945	568.5082	120.0933
"227"	"PCSK1N"	7.1685	58.4084	25.9661
"228"	"AGBL1"	0	12.6551	0
"229"	"RPS28"	21.5054	305.995	531.8998
"230"	"ABCB11"	1.1947	1.6225	4.0572
"231"	"TCF15"	1.1947	4.8674	2.84
"232"	"POP1"	246.7145	120.3861	130.6421
"233"	"GAD1"	123.0585	24.6613	0.4057
"234"	"TAS2R42"	0	0	0
"235"	"CCBE1"	5.9737	47.3757	5.2744
"236"	"NLGN3"	43.6081	630.4859	22.3146
"237"	"NKX3-2"	0	6.1653	12.9831
"238"	"LIMA1"	5907.4074	4219.0314	1848.4633
"239"	"PARK7"	2813.6201	2999.9189	4205.7004
"240"	"TGIF1"	5580.0478	1305.7516	1437.4683
"241"	"HMGXB4"	351.2545	686.9474	489.2991
"242"	"PRKG2"	45.4002	96.6983	8.5201
"243"	"LAPTM5"	1845.2808	2066.6829	9394.8676
"244"	"HARS2"	450.4182	558.7734	561.1117
"245"	"PA2G4P4"	70.4898	36.992	62.0753
"246"	"SHROOM2"	361.4098	734.972	120.9048
"247"	"NUDT21"	1787.3357	2512.209	1969.3681
"248"	"GPRASP2"	251.4934	710.3107	574.9062
"249"	"USP2"	205.4958	81.7717	202.8603
"250"	"PAXIP1"	280.1912	395.6356	342.696
"251"	"TXNL1"	1170.8483	926.4217	3099.3001
"252"	"POM121"	4677.5209	2270.8948	2215.8312
"253"	"PCMT1"	870.3704	1181.1471	1255.2997
"254"	"CSRP2BP"	146.9534	671.3718	616.6954
"255"	"PRO1768"	0	0	0
"256"	"YWHAQ"	4955.1971	5692.2203	4632.5185
"257"	"PARP3"	608.7216	618.8043	717.7198
"258"	"HHLA2"	0	0.649	3.6515
"259"	"UHMK1"	181.601	807.3335	208.5404
"260"	"F13A1"	790.3226	1171.4123	585.4549
"261"	"OR10A2"	0	0	0
"262"	"TOB2"	4147.5508	2533.6254	2660.7161
"263"	"BCAT1"	173.2378	121.0351	204.4832
"264"	"HSPB7"	151.135	719.072	70.1897
"265"	"STK17A"	1462.963	503.9345	1253.2711
"266"	"DUSP18"	163.4349	163.7868	113.9304
"267"	"HS6ST1"	2297.491	1723.3715	784.258
"268"	"VMAC"	54.9582	154.7822	156.6082
"269"	"CLEC4E"	36.4397	14.6021	17.446
"270"	"CELP"	0	0	0
"271"	"CSNK1G3"	609.319	758.6599	559.0831
"272"	"CHEK2"	173.2378	87.2881	143.6251
"273"	"SCARA5"	1471.3262	1290.825	66.5382
"274"	"SNAI1"	390.681	132.0678	294.9589
"275"	"ADAM2"	0	0.9735	0
"276"	"MYOM2"	316.0096	37.9654	47.875
"277"	"ADAMTS15"	56.7503	25.9593	66.1325
"278"	"CPXCR1"	0	0	0
"279"	"FZD5"	394.8626	685.9739	940.8662
"280"	"PCOLCE2"	626.0454	531.1917	92.0986
"281"	"PABPN1"	3591.4277	1882.6381	3312.7538
"282"	"OR10AG1"	0	0	0
"283"	"GPR27"	2.9869	32.7736	15.4174
"284"	"ISOC1"	789.1278	625.6186	512.8309
"285"	"IL5RA"	0.5974	15.5756	17.0403
"286"	"TIMP3"	19251.4934	17683.7836	13018.3589
"287"	"FAIM3"	154.3907	186.936	2131.9688
"288"	"SEMA3D"	252.0908	1309.321	1237.8537
"289"	"C9orf50"	1.7921	0.9735	3.2458
"290"	"TNFSF13B"	20.908	55.488	90.8814
"291"	"LHFPL3"	0.5974	0.3245	1.2172
"292"	"BARHL2"	0	0	0
"293"	"ATP6V1C1"	839.9044	1246.3698	1676.8435
"294"	"TM4SF5"	0.5974	0.3245	0
"295"	"ALDH7A1"	1425.9259	1564.6954	1500.355
"296"	"SNORD18B"	0	0	0
"297"	"LIPI"	0	0.649	23.1261
"298"	"FAM106C"	2.9869	0.3245	5.6801
"299"	"APTX"	420.5496	393.283	388.2747
"300"	"SVOP"	0	0.9735	0.4057
"301"	"LOC647859"	0	3.8939	0
"302"	"SDK2"	125.448	656.7697	217.0606
"303"	"KLF11"	407.4074	836.8622	649.1531
"304"	"PADI2"	87.8136	368.9462	114.8189
"305"	"KHK"	9.5281	83.2417	77.3141
"306"	"GPS1"	1429.5102	1451.448	1848.8691
"307"	"UQCRC1"	3005.9737	2332.1165	2674.5106
"308"	"SLC35B4"	204.8984	453.9628	266.1528
"309"	"UBL3"	3408.6022	2142.2893	1981.9454
"310"	"PTBP2"	275.3883	423.1362	432.9039
"311"	"GABRG3"	0	35.694	4.0572
"312"	"LIMS3-LOC440895"	5.0657	70.3788	24.7327
